scorestreak_id,scorestreak_name,score_cost,unlock_type,unlock_level,unlock_raw_value,raw_description,effect_tags,recommendation_tags,overclock_option_count,max_active_overclocks,source,source_url,source_date,verification_status,notes
hand_cannon,Hand Cannon,800,player_level,42,42,Powerful large caliber handgun with high bullet damage and penetration.,player_weapon;large_caliber;high_damage;penetration,manual_control;anti_personnel;precision_elimination,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
hellstorm,Hellstorm,850,player_level,9,9,Control a long-range cruise missile with boost capabilities and secondary missiles.,remote_controlled;cruise_missile;boost;secondary_missiles,manual_control;objective_clear;multi_kill,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
watchdog_helo,Watchdog Helo,950,player_level,23,23,Close air support escort chopper that pings and attacks enemies in your area.,aerial;escort;enemy_ping;automated_attack,team_support;anti_personnel;mobile_area_control,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
gravemaker,Gravemaker,1000,player_level,17,17,"Assemble a portable, one-hit-kill sniper rifle that can reveal and eliminate targets behind cover.",player_weapon;one_hit_kill;sniper_rifle;cover_penetration;target_reveal,manual_control;precision_elimination;anti_cover,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
interceptors,Interceptors,1025,player_level,51,51,Call in a group of five jets to destroy enemy flying targets.,aerial;five_jets;anti_air;enemy_flying_target_destruction,anti_scorestreak;team_support;air_superiority,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
d_a_w_g,D.A.W.G.,1050,player_level,0,0,Deployable Armored Weaponized Groundcraft featuring a large caliber turret and rocket pod. Very effective against infantry targets.,deployable;armored_groundcraft;turret;rocket_pod;anti_personnel,objective_push;area_control;high_tier,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,Level 0 is a valid player-level unlock.
hkds,HKDS,1200,player_level,30,30,Aerial payload delivers wheeled Hunter Kill Drones which seek targets and explode.,aerial_payload;autonomous_ground_drones;target_seeking;explosive,anti_personnel;area_saturation;high_tier,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
rhino,Rhino,1250,player_level,54,54,Remotely control an armored robotic soldier equipped with a deadly minigun.,remote_controlled;armored_robot;minigun,manual_control;objective_push;anti_personnel;high_tier,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
vtol_warship,VTOL Warship,1350,player_level,48,48,Control a VTOL Warship armed with a turret and air-to-land missiles.,remote_controlled;aerial;turret;air_to_land_missiles,manual_control;air_support;anti_personnel;high_tier,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
harp,HARP,1400,player_level,47,47,High altitude recon vehicle reveals enemy position and direction on the minimap in real time.,high_altitude_recon;real_time_position;direction_reveal;minimap,team_support;advanced_recon;high_tier,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
emp_systems,EMP Systems,1450,player_level,44,44,Massive electromagnetic pulse weapon disrupts enemies and destroys all hostile equipment and vehicles.,global_emp;enemy_disruption;equipment_destruction;vehicle_destruction,team_support;anti_scorestreak;counter_equipment;high_tier,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
legion,Legion,1500,player_level,0,0,"Large autonomous drone cluster patrols the skies, automatically seeking targets and exploding on impact.",autonomous_aerial_cluster;target_seeking;impact_explosion,anti_personnel;air_control;high_tier,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,Level 0 is a valid player-level unlock.
