perk_id,perk_name,perk_slot,combat_specialty_family,ui_colour,raw_description,effect_tags,recommendation_tags,source,source_date,verification_status,notes
engineer,Engineer,2,Recon,Blue,See enemy Equipment and Scorestreaks through walls. Aim at them to see target information. You do not trigger traps or mines.,equipment_wall_visibility;scorestreak_wall_visibility;target_information;trap_immunity;mine_immunity,equipment_destruction;scorestreak_destruction;objective_play;counter_equipment,in_game_screenshot,2026-07-11,verified,
tech_mask,Tech Mask,2,Strategist,Green,"Resistance to enemy flash, concussion, and gas. You cannot be EMP'ed or Hacked.",flash_resistance;concussion_resistance;gas_resistance;emp_immunity;hack_immunity,objective_play;small_maps;hardpoint;anti_tactical;survivability,in_game_screenshot,2026-07-11,verified,
fast_hands,Fast Hands,2,Strategist,Green,Reload and swap weapons faster. Extend fuses when throwing back grenades.,reload_speed;weapon_swap_speed;grenade_throwback_fuse_extension,weapon_grinding;aggressive_play;launcher_support;objective_play,in_game_screenshot,2026-07-11,verified,
dexterity,Dexterity,3,Enforcer,Red,"Reduced weapon motion during jumps, wall jumps, slides, and dives. Take less fall damage.",airborne_weapon_stability;slide_weapon_stability;dive_weapon_stability;fall_damage_reduction,movement_builds;aggressive_play;small_maps;advanced_movement,in_game_screenshot,2026-07-11,verified,
bankroll,Bankroll,3,Enforcer,Red,Start each life with +150 score toward Scorestreaks.,starting_scorestreak_score,scorestreak_challenges;objective_modes;scorestreak_builds,in_game_screenshot,2026-07-11,verified,Starting bonus: 150 score.
looper,Looper,3,Enforcer,Red,Gain the ability to re-earn Scorestreaks in the same life.,scorestreak_reearn_same_life,high_kill_games;scorestreak_challenges;long_streaks,in_game_screenshot,2026-07-11,verified,
cold_blooded,Cold-Blooded,3,Recon,Blue,Undetectable by AI targeting and thermal optics. Player-controlled Scorestreaks don't highlight you.,ai_targeting_immunity;thermal_detection_immunity;player_scorestreak_highlight_immunity,anti_scorestreak;stealth;thermal_counter;survivability,in_game_screenshot,2026-07-11,verified,
tracker,Tracker,3,Recon,Blue,See enemy footsteps in the world. ADSing auto-pings enemies. Killing an enemy shows the direction of the next closest enemy on your minimap.,enemy_footsteps;ads_auto_ping;next_enemy_direction,enemy_tracking;aggressive_play;flanking;close_range,in_game_screenshot,2026-07-11,verified,
charge_link,Charge Link,3,Strategist,Green,Faster field upgrade charge rate. Grant this benefit to all allies. Earn score when nearby allies use their field upgrades.,field_upgrade_charge_rate;team_field_upgrade_charge_rate;ally_field_upgrade_score,field_upgrade_challenges;team_support;objective_modes;score_gain,in_game_screenshot,2026-07-11,verified,
guardian,Guardian,3,Strategist,Green,Faster healing while capturing and holding objectives. Revive downed teammates faster.,objective_healing_rate;teammate_revive_speed,objective_play;hardpoint;domination;support;revive_modes,in_game_screenshot,2026-07-11,verified,
